"BusinessUnit","UseCase","Headlines","Opportunity","Evidence","BusinessValue","AITheme","PrimaryContact","TargetPersonas","Phase","Status","VendorName","ModelName","InformationLink","Created","Created By","Priority","TeamName","SubTeamName","ID","Modified","Modified By","AI Product Checklist","ESE Resources Needed","RespondedBy"
"","AI Copilot for Collections: Streamlined AR Follow-Up Directly in Outlook","Accelerate cash flow and reduce manual effort by bringing D365 collections data and AI-generated follow-ups directly into Outlook.","The proposed use case is to deploy Microsoft Copilot for Finance to integrate Dynamics 365 collections data directly into Outlook, transforming the way UKG manages accounts receivable follow-up. Today, AR specialists spend significant time toggling between D365 and Outlook to retrieve balances, review communications history, and draft follow-up messages. This repetitive, manual work is time-consuming and often delays collections. With Copilot, collections staff would see real-time account summaries, outstanding balances, and prior interactions surfaced directly in Outlook, alongside AI-generated, tailored draft emails with recommended next steps. This approach allows finance staff to complete collections activities in the same tool where customer communication already occurs, eliminating inefficient system switching and reducing cycle times.","Collections processes are one of the most resource-intensive areas of finance operations, and specialists often spend up to 30% of their day gathering data and manually crafting outreach. Microsoft has already demonstrated in pilots that embedding collections data in Outlook can meaningfully reduce average handling time per account and accelerate days sales outstanding (DSO). For UKG, where AR teams manage thousands of accounts each month, even a modest efficiency gain has measurable impact. If Copilot reduces handling time by 20–30% as seen in other organizations, an AR specialist currently spending 20 hours a week on manual follow-up could save 4–6 hours. Scaled across a team of 20 specialists, this equates to more than 100 hours saved weekly, or over 5,000 hours annually. That capacity can either reduce cost or be redirected toward more strategic collections strategies, such as targeted outreach to high-risk accounts.","The anticipated business value extends beyond time savings. Faster and more consistent collections activity has a direct cash flow impact by shortening DSO, ensuring UKG receives payments sooner and improves working capital. AI also improves accuracy and compliance by standardizing outreach, ensuring communications are audit-ready, and reducing the risk of errors or inconsistent tone across customer messages. Finally, embedding collections automation directly in Outlook enhances the employee experience by allowing specialists to work more seamlessly in the tools they already use every day. In summary, this use case will accelerate cash flow, reduce manual effort, and enable UKG’s finance teams to focus on higher-value activities rather than administrative tasks.","Intelligent Document Processing","Becky McKie","Business Operations, Delivery & Enablement","Idea","Help Needed","Microsoft","Copilot for Finance (Outlook/D365)","https://www.microsoft.com/en-us/microsoft-365-copilot/copilot-for-finance?msockid=109dba46bd676b792ffcaeb0bcfa6a87#tabs-pill-bar-oc0840_tab1","9/3/2025 12:01 PM","Ross Sabath","","Finance","Accounts Receivable/C&C","353","12/9/2025 11:59 PM","Brita McGrath","False","False",""
"","Contract Exhibit Analyst","An AI agent that Compares UKG vs vendor contract exhibits, identifies gaps, risks, and maps to standards. ","AI is being used to automate the side-by-side comparison of contract exhibits between UKG’s standard language and a vendor’s proposed version. This solution identifies gaps, deviations, or missing clauses in the vendor’s document, maps each issue to a risk category (e.g., data breach, compliance gap), cites supporting industry standards or regulatory references, and generates standardized risk statements. It provides a fully auditable, accurate, and time-efficient method for legal and procurement teams to evaluate contractual risks and ensure alignment with UKG’s compliance and security standards.","Manual review of contract exhibits is time-consuming, prone to human error, and lacks consistency across reviewers. Legal and procurement teams must ensure that third-party contracts align with UKG’s security, compliance, and operational standards. Without a standardized, repeatable method, critical gaps (e.g., insufficient audit rights or data protection clauses) may be missed, leading to regulatory exposure or contractual risk. AI addresses this need by enabling systematic, clause-by-clause analysis, flagging deviations, and ensuring no required language is overlooked.","Risk Reduction: Identifies compliance gaps and contractual risks early, ensuring vendor contracts meet UKG's security, privacy, and regulatory standards.
Time Savings: Automates a traditionally manual review process, freeing up legal and procurement resources.
Standardization: Ensures consistent evaluation criteria and risk language across all contract reviews.
Audit Readiness: Generates structured reports suitable for internal audit, legal documentation, or regulatory review.
Scalability: Supports faster onboarding and review of vendors at scale without sacrificing diligence.","Intelligent Document Processing","Shane Kennedy","U Krewer","Idea","On-Track","UKG","GBT Hub (internal AI platform)","https://chatgpt.com/g/g-6882431ce334819181faa9cd5541cfc4-contract-exhibit-analyst","9/3/2025 11:41 AM","Shane Kennedy","Not a Priority","","","352","10/28/2025 12:09 PM","Lori Gelsomini","False","False",""
"","Intelligent Cash Flow Forecasting (Finance Insights)","Automated, high-accuracy cash flow forecasting using AI to free finance teams from manual work and enhance decision-making.","UKG can leverage Dynamics 365 Finance Insights' Cash Flow Forecasts—an AI-powered, time-series forecasting capability integrated with AI Builder—to automate and elevate the accuracy of long-term cash flow projections. This system enables editable forecast snapshots (optimistic, pessimistic, realistic), side-by-side comparisons with actuals, multi‑currency and multi‑entity views, and “what-if” scenario analysis.","Manual and error-prone: Traditional forecasting relies on spreadsheets and manually consolidating fragmented data, limiting both speed and precision.

AI accuracy gains: AI-supported forecasting demonstrates up to 95% accuracy over six months and significantly fewer liquidity issues—organizations using AI are 1.5× less likely to face liquidity crises.

Efficiency boost: AI slashes manual workload dramatically—JPMorgan’s solution reduced effort by nearly 90% among corporate clients.

Continuous improvement: With each actuals comparison, the AI model refines itself, improving accuracy over time.","By adopting AI-driven cash flow forecasting, UKG can significantly reduce the manual effort required to consolidate and analyze financial data, freeing the finance team to focus on higher-value strategic work. The solution improves forecast accuracy and reliability, reducing errors and strengthening confidence in liquidity planning and risk mitigation. It also provides agility through the ability to quickly generate and compare multiple forecast scenarios—optimistic, realistic, and pessimistic—supporting better decision-making. With scalability across currencies, entities, and financial dimensions, the system adapts to UKG’s complex organizational structure, while continuous learning ensures forecasts become more accurate over time. Ultimately, AI-powered forecasting positions Finance as a forward-looking strategic partner, enhancing efficiency, liquidity management, and enterprise-wide agility.","Predictive Modeling / Recommender","Becky McKie","Business Operations, Delivery & Enablement","Idea","Help Needed","Microsoft","Copilot for Finance (Outlook/D365)","https://learn.microsoft.com/en-us/dynamics365/finance/cash-bank-management/cash-flow-forecasting","9/3/2025 11:24 AM","Ross Sabath","","Finance","All","351","12/9/2025 11:59 PM","Brita McGrath","False","False",""
"","Legal, Risk and Compliance Presentation Coach","Legal, Risk and Compliance Presentation Coach","We previously had Decker Communications provide us with workshops and coaching to provide structured feedback around presentation styles, including live meetings, recorded video presentations, and power point presentations.  They utilizded AI for much of this, so we created our own GPT, aligned to the Decker guidelined which would allow anyone to upload a presentation, video, or voice recording to receive feedback on communication suggestions such as flow, pacing, tone, audience reception, that will enable growth in soft skills.","We are continually trying to improve soft skills across our department and enterprise, since much of the Legal teams work involves communicating effectively with business partners throughout the organizations, and influencing customers and vendors in negotations.  These coaching workshops can become extremely costly, and many feel intimiated by participating in live feedback.  This will allow individuals to submit their own recordings and presentations in a safe and protected environment.  ","Increase in soft skills, enhanced business partner communications, influencing in customer/vendor/partner negotiations.","Sentiment Analysis","Michelle Zenkus","Data and Analytics,Customer Success & Services,Privacy, Regulatory & Compliance,Learning & Development,Project & Program Manager,U Krewer,Communicators,People Leaders","Diagnose","On-Track","OpenAI","ChatGPT","https://chatgpt.com/g/g-689f46deddd08191ad06c136f7de64c3-legal-risk-and-compliance-presentation-coach","9/2/2025 12:03 PM","Michelle Zenkus","Not a Priority","","","350","12/4/2025 11:21 AM","Lori Gelsomini","False","False","Champion"
"","Proactive Performance & Queue Management Automation for CX Teams","Empowering CX with real-time performance insights and queue alerts through AI-driven automation and analytics.","Use Power Automate and Power BI to automate the delivery of personalized performance summaries, queue alerts, and customer-level insights across agents, managers, and customer success teams. AI is used to detect patterns, trigger alerts, and surface tailored coaching opportunities based on case behavior, customer activity, and goal tracking trends.","Currently, performance data is pulled from 6+ platforms (Salesforce, InContact, UKG Pro WFM, Power BI, Qualtrics, Smartsheet) using manual or semi-automated processes.

Agents take weeks to learn to manage their queue effectively.

Managers spend 1–4 hours/day preparing performance summaries and coaching insights.

CSMs often lack awareness of unresolved customer issues before calls.
There is no consistent, scalable way to surface data-based insights proactively across roles.","Reduce agent ramp time from ~2 months to < 4 weeks

Save managers 1–3 hours/day on manual reporting

Improve coaching consistency and performance tracking

Help CSMs proactively manage customer conversations

Increase data-driven decisions across CX without increasing system burden

Strengthen early detection of at-risk customers or content gaps

Improve accountability, engagement, and visibility across CX teams","Conversational AI","Dominique Strong","Customer Success & Services,U Krewer,Privacy, Regulatory & Compliance,Data and Analytics,People Leaders","Idea","Not Started","Microsoft, Salesforce, UKG, NICE","Power Automate (AI Builder), Power BI (AI Insights)","https://ukginc-my.sharepoint.com/:w:/g/personal/dominique_strong_ukg_com/EWdHVl1c0y5GqmKis2v9CCYBunV0AATdxuT7DdQD-P4iSA?e=5BvEQ7","9/2/2025 10:39 AM","Dominique Strong","Not a Priority","","","349","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Penalty & Interest Calculation for SUI Cases","Penalty & Interest calculation for SUI cases, specifically for states where we do not have access to a portal","When SUI (State Unemployment Insurance) notices are not resolved within the specified timeframe, agencies impose penalties and interest. If such notices remain unreviewed, we must contact the agency—via phone or email—to obtain the updated balance due. This process is time-consuming and often leads to additional penalties and interest due to delays in follow-up
Proposed Solution
To address this challenge, I propose the implementation of a Penalty & Interest Calculator tailored to each SUI agency. This tool would:
•	Use agency-specific interest rates and penalty structures
•	Estimate balance due based on notice date and resolution delay
•	Reduce reliance on agency communication
•	Enable faster and more accurate case resolution
I have already developed a working calculator for MO LOCAL (W10 & P10). The tool is ready for testing to measure its accuracy and effectiveness in real-case scenarios.
Benefits
1.	Reduced Dependency on Agencies
•	Eliminates delays caused by waiting for agency responses
•	Enables internal estimation of dues
2.	Faster Case Resolution
•	Immediate access to estimated penalties and interest
•	Helps reduce backlog and improves turnaround time
3.	Cost Savings
•	Minimizes additional penalties and interest due to delayed follow-up
•	Reduces manual effort and time spent on agency communication
4.	Improved Accuracy and Compliance
•	Ensures consistent calculations based on agency rules
•	Enhances audit readiness and reduces risk of errors
5.	Scalability Across States
•	Once validated, the model can be replicated for other states
•	Creates a standardized toolset for the team
6.	Enhanced Team Productivity
•	Frees up time for analysts to focus on complex cases
•	Reduces workload and improves efficiency
7.	Better Stakeholder Communication
•	Provides quick and clear estimates for internal and client reporting
•	Builds trust through proactive case management
Next Steps
1.	Test the MO LOCAL calculator to validate accuracy and usability
2.	Expand the model to other states with similar SUI structures
3.	Coordinate with agencies to validate calculations and seek feedback
4.	Implement the tool across relevant teams to improve resolution efficiency
","The need for a Penalty & Interest Calculator arises from several recurring operational challenges observed during the handling of SUI notices:
1. Delays in Agency Response
Agencies often take time to respond to balance due inquiries, especially during peak periods.
These delays result in extended resolution timelines and increase the risk of accruing additional penalties and interest.
2. Manual Follow-Up Burden
Analysts spend significant time manually following up with agencies via calls and emails.
This effort could be redirected to resolving more complex cases if a reliable internal tool is available.
3. Financial Impact
In many cases, penalties and interest continue to accumulate while waiting for agency confirmation.
Having an internal calculator allows us to act faster, reducing the financial impact on clients and the company.
4. Case Backlog
The dependency on agency responses contributes to backlog growth.
A calculator enables quicker estimation and resolution, helping reduce the volume of pending cases.
5. Inconsistent Estimations
Without a standardized tool, estimations vary across analysts, leading to inconsistencies and potential errors.
A calculator ensures uniformity and accuracy in penalty and interest calculations.
6. Proof of Concept Already Developed
A working model for MO LOCAL (W10 & P10) has already been created and is ready for testing.
This provides a foundation to measure effectiveness and validate the need for broader implementation.
","The implementation of a Penalty & Interest Calculator for SUI notices offers several strategic and operational benefits to UKG:
1. Operational Efficiency
Reduces time spent on manual follow-ups with agencies.
Enables faster resolution of cases, improving overall team productivity.
2. Cost Reduction
Minimizes additional penalties and interest that accumulate due to delays.
Reduces labor costs associated with repetitive agency communication.
3. Improved Client Experience
Faster and more accurate resolution of notices enhances client satisfaction.
Demonstrates proactive management of tax-related issues, strengthening client trust.
4. Standardization and Accuracy
Ensures consistent calculations across analysts and teams.
Reduces risk of errors and improves compliance with agency rules.
5. Scalability and Reusability
Once validated, the calculator model can be replicated across multiple states.
Creates a reusable framework that can be adapted for future regulatory changes.
6. Strategic Advantage
Positions UKG as a forward-thinking organization leveraging automation to improve tax operations.
Enhances internal capabilities, reducing dependency on external agencies.
7. Data-Driven Insights
Testing and usage of the calculator can generate valuable data on penalty trends and resolution timelines.
8. Supports continuous improvement and informed decision-making.
","Predictive Modeling / Recommender","Abhigyan Chauhan","Customer Success & Services","Idea","Not Started","Microsoft","Microsoft 365 Copilot","","9/1/2025 9:14 AM","Abhigyan Chauhan","Not a Priority","","","348","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Case Comment Automtion","AI-powered sentiment analysis delivers instant, consistent, and empathetic customer responses while reducing manual effort.","The idea is to leverage AI-driven sentiment analysis and NLP within Salesforce to automatically interpret customer comments, classify intent, and trigger timely, pre-approved responses—ensuring faster engagement, consistent communication quality, and reduced manual workload.","Today, customer responses are reviewed manually by administrators or agents, which creates delays in engagement, inconsistent communication quality, and higher workload. With increasing case volumes, this manual process is unsustainable and risks negatively impacting customer satisfaction. Automating sentiment detection and replies ensures timely, professional, and consistent engagement while reducing dependency on manual review.","By automating sentiment detection and responses, UKG can significantly reduce response times, ensuring customers feel heard and engaged immediately. Standardized AI-driven replies improve consistency and professionalism, while freeing administrators from routine tasks to focus on complex or high-value cases. This not only enhances customer satisfaction and trust but also improves operational efficiency and scalability, enabling UKG to manage growing case volumes without additional headcount.","Sentiment Analysis","Arun K Kumar","Customer Success & Services","Idea","Not Started","Salesforce","Agentforce (part of Einstein 1)","","9/1/2025 7:43 AM","Arun K Kumar","Not a Priority","","","347","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","LA Assessment","AI-powered automation streamlines Case Lite Assessing, saving 800+ hours monthly while improving accuracy and accelerating case resolution.","The idea is to use AI-driven automation to replicate and streamline the Lite Assessing process in Salesforce by automatically detecting duplicates, validating tax details, extracting TPA information, auto-populating missing fields, and routing cases accurately—reducing manual effort while ensuring faster, more accurate case resolution.","Currently, Lite Assessing requires 5–10 minutes of manual research and updates per case. With 3,000–4,000 cases each month, this consumes 250–667 hours of administrator time monthly. The manual process introduces inefficiencies, delays case resolution, increases risk of human error, and prevents administrators from focusing on complex, value-added work. Automation is therefore essential to handle high case volumes efficiently and consistently.","By automating the Lite Assessing process, UKG can save 250–667 hours of manual effort each month, reduce backlog, and accelerate case resolution. Automation ensures consistent accuracy in validating tax details and routing cases, which improves compliance and reduces errors. This not only increases efficiency and scalability but also frees administrators to focus on complex, judgment-based cases, ultimately enhancing service quality, improving customer satisfaction, and driving operational excellence.","Intelligent Document Processing","Arun K Kumar","Customer Success & Services","Idea","Not Started","Salesforce","Agentforce (part of Einstein 1)","","9/1/2025 7:36 AM","Arun K Kumar","Not a Priority","","","346","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","221 Automation with AI","AI-powered Salesforce automation ensures 100% follow-up coverage, eliminating manual effort and preventing case aging.","Currently, cases that require additional information, response, or action are handled through follow-up emails sent in the 2:2:1 format. To ensure timely responses and avoid cases aging due to non-response, this process has been partially automated using a VBA macro. However, the tool still needs to be run manually, and as a result, only about 70% of the daily inflow is being covered. The proposed idea is to eliminate this manual effort by leveraging AI-driven automation within Salesforce. By integrating an automated follow-up mechanism directly into Salesforce, the system can independently trigger 2:2:1 follow-up emails for all applicable cases. This will ensure complete coverage of daily inflows, reduce manual dependency, improve response timeliness, and minimize the risk of case aging.","Currently, the follow-up process depends on a VBA macro that must be run manually, covering only ~70% of daily case inflows. This gap leads to missed follow-ups, delayed responses, and increased risk of case aging, making automation essential to achieve 100% coverage and consistent timeliness.","Automating the 2:2:1 follow-up process in Salesforce will eliminate manual effort, ensure 100% coverage of daily case inflows, reduce case aging through timely responses, and free up valuable resources to focus on higher-value work. This improves operational efficiency, enhances customer experience, and establishes a scalable, sustainable process aligned with UKG’s commitment to service excellence.","Sentiment Analysis","Arun K Kumar","Customer Success & Services","Idea","Not Started","Salesforce","Agentforce (part of Einstein 1)","","9/1/2025 7:29 AM","Arun K Kumar","Not a Priority","","","345","10/8/2025 9:26 AM","Lakshmi Sathyavageeswaran","False","False",""
"","Fixed Asset Invoice copy extraction from D365","Fixed Asset Invoice copy extraction from D365","Currently Invoice copies are extracted manually from D365, Idea is to get AI to have the invoice copy extracted from the system.","Invoice copies are required for monthly review of asset capitalization along with various audit requirements.","This will help in reducing the manuall efforts in extracting invoice copies individually.","Data Extraction","Vishal Arya","Business Operations, Delivery & Enablement","Idea","Rejected","TBD","TBD","","9/1/2025 4:07 AM","Vishal Arya","Not a Priority","Finance","General Ledger","344","10/21/2025 2:21 PM","Ross Sabath","False","False",""
"","Strategic Procurement Simulator","Advanced simulator for procurement negotiations with finance, legal, security, GTM, and layered strategies.","Simulation transforms sourcing negotiations from reactive, one-off deals into a repeatable, data-driven discipline that consistently protects value, reduces risk, and improves vendor accountability.

1. Faster Stakeholder Alignment

Traditional negotiations stall because Finance, Legal, IT, Security, and Business Owners all have different priorities.

Simulation allows each role to “play out” their objections and must-haves before the vendor is engaged, so procurement enters the room with a unified position.

2. Risk-Free Practice

Teams can practice negotiation plays (anchoring, bundling, counteroffers) in a safe environment.

This reduces the chance of making costly concessions in live negotiations.

3. Stress-Testing Strategies

Simulation lets sourcing teams test optimistic, likely, and pessimistic scenarios—e.g., what if the vendor refuses CPI caps, or insists on auto-renewals?

By preparing for different outcomes, teams avoid being caught off guard.

4. Quantifying Impact

AI simulation can generate financial models (uplift %, savings potential, TCO comparisons) tied directly to negotiation choices.

Procurement can show executives: “If we win a 3% cap instead of 7%, this saves $2.4M over 5 years.”

5. Improved Negotiation Skills

Repetition builds confidence. Teams learn how to use silence, escalation, or alternative vendors effectively by practicing role-play with simulated vendor personas (hardliner vs. collaborator vs. staller).

6. Governance & Consistency

Every negotiation can be simulated against the UKG Playbook standards—ensuring Net 60 terms, true-up/true-down flexibility, and no hidden auto-renewals are always pushed for.

This prevents drift and enforces best-in-class sourcing discipline.

7. Executive-Level Storytelling

Simulation outputs (playbooks, scenario tables, executive briefs) help Procurement translate negotiation choices into business terms executives care about: margin protection, risk mitigation, and vendor resilience.","1. From Static Playbook → Dynamic Simulation

The UKG Negotiation Playbook gives excellent rules and guardrails.

But in reality, vendors push back, stakeholders disagree, and negotiations get messy.

This GPT turns the playbook into a live, adaptive simulator, where teams can practice, test, and prepare for real-world complexity.

2. Unifies Cross-Functional Stakeholders

Procurement rarely negotiates alone — Finance wants cost savings, IT wants continuity, Security wants compliance, Legal wants exit rights.

This GPT can simulate each role’s perspective, forcing alignment before the vendor meeting.

That prevents Procurement from being undermined mid-negotiation by internal disagreement.

3. Builds Negotiation Confidence & Skill

Many buyers face seasoned vendor sales teams trained in objection handling and upsell tactics.

Simulation lets sourcing teams rehearse tough conversations and practice counters in a risk-free environment.

4. Quantifies the Business Impact of Choices

Instead of abstract “good vs. bad terms,” the GPT calculates financial impact:

3% vs. 7% uplift → multi-year savings.

Auto-renewal risk → hidden cost exposure.

Payment terms (Net 30 vs. Net 60) → cash flow value.

This ties negotiation tactics to CFO-relevant outcomes.

5. Prepares for Vendor Personas

Vendors don’t all act the same: some are collaborators, some stall, others play hardball.

This GPT simulates those personas so teams can stress-test strategies against different vendor behaviors.

6. Standardizes Best Practices Across Teams

Without simulation, each negotiator interprets the playbook differently.

With AI, every deal gets measured against UKG standards: Net 60 terms, CPI-based caps, true-up/true-down flexibility, no silent renewals.

This drives consistency, governance, and protects UKG’s long-term interests.

7. Executive-Ready Outputs

The GPT produces summaries, stress tests, and executive briefs automatically.

This means Procurement doesn’t just “negotiate better” — it communicates impact clearly to C-level stakeholders, securing buy-in.","1. Direct Cost Savings

By simulating plays and aligning stakeholders, teams push back more effectively on price uplifts, shelfware, and hidden fees.

Example: Negotiating a 3% CPI cap vs. 7% uplift can save millions over a 5-year SaaS contract.

Simulation ensures Procurement consistently lands best-in-class terms, not “good enough” renewals.

2. Margin Protection & Cash Flow

Standardizing on Net 60 terms improves working capital and free cash flow.

Avoiding auto-renewals and shelfware prevents margin erosion.

Better visibility into total cost of ownership (TCO) enables more accurate forecasting.

3. Risk Reduction

Simulated stakeholder alignment ensures compliance, security, and legal terms aren’t overlooked under vendor pressure.

Mitigates risks from vendor lock-in, silent renewals, and unfavorable SLAs.

Builds resilience through true-up/true-down rights and exit flexibility.

4. Faster, More Confident Negotiations

Teams enter vendor discussions with rehearsed counteroffers and agreed red-lines.

Cuts down negotiation cycle time by eliminating internal misalignment.

Enables earlier renewal engagement (120+ days out), preserving leverage.

5. Improved Adoption & Business Continuity

Customer Advocate and Business Owner simulations ensure user needs aren’t ignored.

Avoids sourcing “savings wins” that fail in practice due to poor adoption or feature gaps.

6. Executive Visibility & Storytelling

Outputs (executive briefs, stress tests, win-loss trackers) tie negotiation outcomes to CFO-level impact.

Procurement shifts perception from “cost-cutting” to strategic value creation and enterprise resilience.

7. Consistency & Governance at Scale

Every deal, renewal, and RFP is measured against the UKG Playbook standards.

Drives consistency across sourcing teams globally.

Ensures no negotiation leaves money on the table or exposes the business to hidden risks.

👉 In summary: The business value is millions in savings, stronger vendor accountability, better cash flow, reduced risk, and faster deal execution — all while improving cross-functional alignment and reinforcing UKG’s “Protect the House” mandate.","Predictive Modeling / Recommender","Dani Van Camp","U Krewer","Implemented","Completed","OpenAI","ChatGPT","https://chatgpt.com/g/g-68b1c20f813c8191acb41f6b8f2c4afe-strategic-procurement-simulator","8/29/2025 12:51 PM","Dani Van Camp","Not a Priority","Finance","Strategic Sourcing","343","11/19/2025 10:55 AM","Ross Sabath","False","False",""
"","PR FastTrack ","Fast, Accurate, Automated: Unlocking Business Value in the PR Process","By automating the PR process between SharePoint and D365, UKG can cut requisition cycle times in half, save up to 920 hours annually, strengthen compliance, and enable procurement to redirect effort from data entry to strategic value creation.

Efficiency Gains (Time & Cost Savings)

Current manual process wastes 35–55 minutes per PR through duplicate entry, rework, and status chasing.

For 1,000 PRs/year, automation saves ~580–920 hours annually (~0.3–0.5 FTE).

This frees procurement staff to focus on strategic sourcing, supplier negotiations, and value-add instead of data entry.

2. Faster Cycle Times (Speed to PO)

Automation cuts requisition-to-order time by up to 50%.

Faster PO creation means suppliers onboarded sooner, reducing delays in project launches and operational needs.

This directly improves stakeholder satisfaction and business agility.

3. Improved Compliance & Control

Auto-validation ensures PRs are complete, coded correctly, and routed through the proper D365 approvals.

Audit-ready process with clear traceability of who submitted, approved, and converted.

Reduces risk of maverick spend and strengthens financial governance.

4. Scalability & Future Growth

As PR volumes increase, automation prevents the need to scale headcount linearly.

Provides a foundation for further automation (e.g., supplier portals, AI spend forecasting, automated three-way match).

Positions procurement as a strategic enabler, not a bottleneck.

5. Employee & Stakeholder Experience

Requesters get real-time visibility without chasing procurement for updates.

Procurement teams spend more time on supplier performance, innovation, and savings initiatives.

Boosts morale by removing repetitive, low-value tasks.
","Manual PR processing wastes time, creates errors, and delays supplier engagement. Studies (APQC, McKinsey, Deloitte) and industry benchmarks consistently show that automation reduces cycle times by up to 50%, cuts error rates by 90%, and saves hundreds of hours annually. This allows procurement to shift from transactional data entry to strategic value creation.","1. Time & Cost Efficiency

Saves 35–55 minutes per PR by removing duplicate entry and manual follow-ups.

For 1,000 PRs annually = 580–920 hours saved/year (~0.3–0.5 FTE).

Procurement team time redirected to supplier strategy, negotiations, and value-add activities.

2. Faster Business Execution

Cuts requisition-to-PO cycle times by up to 50%.

Enables faster supplier onboarding and project kick-offs.

Reduces operational delays tied to slow purchasing processes.

3. Improved Accuracy & Compliance

Eliminates re-keying errors → 90% fewer data entry mistakes.

Enforces mandatory fields, budget codes, and approval paths.

Strengthens audit trail and compliance with procurement policies.

4. Scalability Without Extra Cost

Handles higher PR volumes without additional headcount.

Future-proof foundation for further automation (supplier portals, AI-driven spend insights).

5. Better Stakeholder Experience

Requesters gain real-time visibility of status in SharePoint.

Procurement shifts from being viewed as an administrative bottleneck to a strategic enabler.","Data Extraction","Laxmi Keswani","U Krewer","Idea","Not Started","Microsoft","Microsoft 365 Copilot","https://chatgpt.com/g/g-68b1a11b81088191bead45900551d966-pr-fasttrack-assistant-mock","8/29/2025 8:55 AM","Dani Van Camp","Not a Priority","Finance","Strategic Sourcing","342","11/19/2025 10:55 AM","Ross Sabath","False","False",""
"","Virtual Scrum Assistant","Provide automated on-demand Scrum knowledge and advice to new Scrum Masters.","The EPIC organization currently faces a significant opportunity to enhance its agile practices by addressing a critical gap in its Scrum implementation. Presently, the role of Scrum Master is filled by employees from engineering or product management disciplines, who possess varying levels of Scrum knowledge. This variability can lead to inconsistencies in the application of Scrum principles and practices, impacting the effectiveness and efficiency of Scrum Teams. 

Current Challenges:

Inconsistent Scrum Knowledge: The absence of professional Scrum Masters means the depth of Scrum knowledge varies significantly across teams, which can hinder the consistent application of Scrum theory and practices.

Accountability for Scrum Effectiveness: Scrum Masters are accountable for the effectiveness of their teams Scrum practices, yet without a expert level of expertise, achieving this can be challenging.

Need for Continuous Improvement: To maximize the flow of value, Scrum Teams require Scrum Masters to provide ongoing mentorship and guidance to refine their practices within the Scrum framework.

Proposed Solution: AI-Powered Virtual Scrum Coach

The introduction of an AI-powered virtual Scrum Coach presents a transformative solution to these challenges. This innovative tool will serve as a resource for Scrum Masters, providing them with the necessary knowledge and guidance to mentor their teams effectively. Key features and benefits include:

Standardized Scrum Knowledge: The virtual Scrum coach will offer a consistent and comprehensive understanding of Scrum, ensuring all Scrum Masters have access to the same high-quality information and best practices.

Real-Time Guidance and Support: The virtual Scrum coach will be instantly available to provide real-time advice and solutions, helping Scrum Masters address challenges as they arise and maintain the integrity of Scrum practices.

Continuous Learning and Improvement: By facilitating ongoing education and skill development, the virtual Scrum coach will empower Scrum Masters to continuously enhance their teams' practices, thereby increasing the flow of value.

Scalability and Accessibility: The AI-powered solution can be easily scaled across the organization, providing equal access to all teams regardless of their location or size.

By implementing the AI-powered virtual Scrum Coach, EPIC can ensure a more consistent and effective application of Scrum, ultimately leading to improved team performance and a greater flow of value throughout the organization.","DX survey comments and a recent Agile coaching engagement for an EPIC pillar indicate Scrum practices need improvement within the EPIC organization, particularly:

Sprint planning
Sprint retrospectives
Story writing and slicing
Prioritization
Backlog refinement
Definition of Done
These effect the following DX metrics (#'s shown are from March 16, 2025 surey):

Deep work - 55 (-11 points below Industry 75th percentile)
Batch size - 80 (-8 points below Industry 75th percentile)
Requirements quality - 68 (+4 points above Industry 75th percentile)","Enhanced Team Performance: By providing consistent and expert-level Scrum guidance, the virtual Scrum coach will enable Scrum Masters to lead their teams more effectively towards becoming high-performing teams. This will result in improved team dynamics, higher productivity, and more successful project outcomes.

Increased Efficiency, Predictability and Value Delivery: With a standardized approach to Scrum practices, teams will be able to streamline their processes, reduce waste, and focus on delivering value more efficiently and predictably. This will lead to faster project completion times and a higher return on investment.

Improved Employee Satisfaction and Retention: By empowering Scrum Masters the knowledge they need to succeed to build high performing Agile teams, the organization fosters a culture of continuous learning and development. This can lead to higher job satisfaction, increased employee engagement, and reduced turnover rates.","[]","Linda Amico","[]","Idea","Not Started","","","https://engconf.int.kronos.com/spaces/VSAS/pages/987453683/WoWie+experiments","8/29/2025 8:32 AM","Linda Amico","Not a Priority","","","341","11/3/2025 4:23 PM","Linda Amico","False","False",""
